Dia Verão;PM Verão;%PV  Verão;Qtd Ração Und  Verão;%mortalidade  Verão;GDP  Verão;Marco de Gestao;Dia Inverno;PM Inverno;%PV Inverno;Qtd Ração Und  Inverno;%mortalidade  Inverno; GDP  Inverno ;Marco de Gestao c
1;0,5;0,1;0,05;1,50%;0,082728;;1;0,5;0,09405;0,047025;1,50%;0,055149;
2;0,58273;0,1;0,058273;1,50%;0,09;;2;0,55515;0,09405;0,052212;1,50%;0,055149;
3;0,66546;0,1;0,066546;1,40%;0,1;;3;0,6103;0,09405;0,057399;1,40%;0,055149;
4;0,74818;0,1;0,074818;1,30%;0,11;;4;0,66545;0,09405;0,062585;1,30%;0,055149;
5;0,83091;0,1;0,083091;1,20%;0,12;;5;0,7206;0,09405;0,067772;1,20%;0,055149;
6;0,91364;0,1;0,091364;1,10%;0,13;;6;0,77575;0,09405;0,072959;1,10%;0,055149;
7;0,99637;0,1;0,099637;1,00%;0,14;;7;0,8309;0,09405;0,078146;1,00%;0,055149;
8;1,07909;0,1003;0,108233;1,00%;0,148339;;8;0,88605;0,09405;0,083333;0,90%;0,055149;
9;1,22743;0,1003;0,123112;1,00%;0,16;;9;1,01977;0,09405;0,095909;0,90%;0,133721;
10;1,37577;0,1003;0,13799;0,90%;0,17;;10;1,15349;0,09405;0,108485;0,60%;0,133721;
11;1,52411;0,1003;0,152868;0,90%;0,18;;11;1,28721;0,09405;0,121062;0,40%;0,133721;
12;1,67245;0,1003;0,167747;0,90%;0,19;;12;1,42093;0,09405;0,133638;0,40%;0,133721;
13;1,82079;0,1003;0,182625;0,80%;0,2;;13;1,55465;0,09405;0,146215;0,40%;0,133721;
14;1,96913;0,1003;0,197504;0,80%;0,22;;14;1,68837;0,09405;0,158791;0,40%;0,133721;
15;2,11747;0,0887;0,18782;0,80%;0,242478;;15;1,82209;0,07712;0,140521;0,40%;0,133721;
16;2,35995;0,0887;0,209327;0,70%;0,26;;16;2,02267;0,07712;0,15599;0,30%;0,200581;
17;2,60242;0,0887;0,230835;0,70%;0,28;;17;2,22325;0,07712;0,171459;0,30%;0,200581;
18;2,8449;0,0887;0,252343;0,70%;0,3;;18;2,42383;0,07712;0,186928;0,30%;0,200581;
19;3,08738;0,0887;0,273851;0,60%;0,32;;19;2,62441;0,07712;0,202397;0,30%;0,200581;
20;3,32986;0,0887;0,295358;0,60%;0,34;;20;2,825;0,07712;0,217866;0,30%;0,200581;
21;3,57234;0,0887;0,316866;0,60%;0,39;;21;3,02558;0,07712;0,233335;0,30%;0,200581;
22;3,81481;0,0824;0,314341;0,50%;0,389391;;22;3,22616;0,07486;0,241522;0,10%;0,200581;
23;4,2042;0,0824;0,346426;0,50%;0,42;;23;3,56046;0,07486;0,26655;0,10%;0,334302;
24;4,59359;0,0824;0,378512;0,50%;0,45;;24;3,89476;0,07486;0,291577;0,10%;0,334302;
25;4,98299;0,0824;0,410598;0,50%;0,48205;;25;4,22906;0,07486;0,316604;0,10%;0,334302;
