Produtor;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2027-01;2027-02;2027-03;2027-04;2027-05
AGD;100;100;100;100;100;100;100;100;100;100;100;100
CAS;50;50;50;50;50;50;50;50;50;50;50;50
FAM;70;70;70;70;70;70;70;70;70;70;70;70
FSH;50;50;50;50;50;50;50;50;50;50;50;50
GNB;;;;;;;;;150;150;150;150
LDC;80;80;80;80;80;80;80;80;80;80;80;80
LRG;150;150;150;150;150;150;150;150;150;150;150;150
MSP;100;100;100;100;100;100;100;100;100;100;100;100
PGP;120;120;120;120;120;120;120;120;120;120;120;120
QTR;300;300;300;300;300;300;300;300;300;300;300;300
RGD;;;;;;;;;450;450;450;450
SFS;200;200;200;200;200;200;200;200;200;200;200;200
TLB;500;500;500;500;500;500;500;500;500;500;500;500
