Regiao;Classe;Produtor;Tanque;Data Despesca;Quantidade de Peixes (und);Peso Medio (g);Biomassa (kg);Consumo de Racao Total (kg);TCA;Mortalidade Total (und);Sobrevivencia Total (%)
APT;Próprio;SFS;E250;03/01/2025;3573;932;3330;3880,9;1,22;1994;64,18%
APT;Próprio;SFS;E241;03/01/2025;4131;910,2;3760;5136,9;1,44;2027;67,08%
APT;Próprio;SFS;E261;04/01/2025;4086;952;3890;4002,4;1,07;1096;78,85%
APT;Próprio;SFS;E261;04/01/2025;1670;952;1589,8;3102,9;2,1;2347;41,56%
APT;Próprio;SFS;E250;04/01/2025;1373;932;1279,6;1769,4;1,46;1165;54,09%
APT;Próprio;SFS;E270;04/01/2025;1099;928,1;1020;1135,3;1,15;546;66,80%
APT;Próprio;SFS;E265;04/01/2025;5532;911;5039,7;6483,6;1,35;2853;65,97%
APT;Próprio;SFS;E254;04/01/2025;5500;880;4840;6657,4;1,44;3817;59,03%
APT;Próprio;SFS;E300;06/01/2025;5635;905;5099,7;7597,2;1,57;5873;48,97%
APT;Próprio;SFS;E296;07/01/2025;3540;918,1;3250;4715,1;1,54;4702;42,95%
APT;Próprio;SFS;E312;07/01/2025;3085;901;2779,6;3982,3;1,55;6400;32,52%
APT;Próprio;SFS;E302;07/01/2025;5679;889,2;5050;7383,8;1,55;6821;45,43%
APT;Próprio;SFS;E296;08/01/2025;1067;918,5;980;1557,8;1,69;1657;39,17%
APT;Próprio;SFS;E309;08/01/2025;1644;900,2;1480;1948;1,43;3589;31,42%
APT;Próprio;SFS;E304;08/01/2025;5215;880,1;4590;6919,2;1,58;4449;53,96%
APT;Próprio;SFS;E322;08/01/2025;5439;862,3;4690;7004;1,6;5569;49,41%
APT;Próprio;SFS;E331 SFS;08/01/2025;3921;841,6;3300;4770,3;1,59;8457;31,68%
APT;Próprio;SFS;E310;09/01/2025;2328;910,7;2120;4010,7;2,02;3839;37,75%
APT;Próprio;SFS;E309;09/01/2025;2221;900,5;2000;2866,2;1,57;5479;28,84%
APT;Próprio;SFS;E310;10/01/2025;3198;910;2910,2;3368;1,22;3229;49,76%
APT;Próprio;SFS;E294;10/01/2025;5086;865,1;4400;6326,1;1,52;5624;47,48%
APT;Próprio;SFS;E314;15/01/2025;6416;840,1;5390,3;7244,8;1,44;8529;42,93%
APT;Próprio;SFS;E313;15/01/2025;4900;800;3920;4489,7;1,25;8004;37,97%
APT;Próprio;SFS;E324;16/01/2025;4909;935;4589,9;6682,7;1,54;6303;43,78%
APT;Próprio;SFS;E336 SFS;16/01/2025;1165;892,7;1040;1035,2;1,06;1017;53,37%
APT;Próprio;SFS;E330 SFS;16/01/2025;5153;848;4369,7;6184,8;1,52;7230;41,61%
APT;Próprio;SFS;E342 SFS;16/01/2025;4137;805;3330,3;4381,2;1,43;5408;43,34%
APT;Próprio;SFS;E323;16/01/2025;4443;799;3550;4686,1;1,46;7069;38,59%
APT;Próprio;SFS;E316;17/01/2025;5430;989;5370,3;8067,1;1,61;8087;40,17%
APT;Próprio;SFS;E336 SFS;17/01/2025;3890;892;3469,9;5186,8;1,64;7045;35,57%
APT;Próprio;SFS;E318;17/01/2025;1882;887,4;1670;3104,3;1,99;2567;42,30%
APT;Próprio;SFS;E318;17/01/2025;3979;887,3;3530,8;4555,8;1,36;3767;51,37%
APT;Próprio;SFS;E308;17/01/2025;4457;884;3940;5734,7;1,57;8713;33,84%
APT;Próprio;SFS;E270;18/01/2025;3717;928;3449,4;4405,7;1,32;2589;58,94%
APT;Próprio;SFS;E259;18/01/2025;4094;906,2;3710;3754,6;1,05;1150;78,06%
APT;Próprio;SFS;E259;18/01/2025;1722;906,2;1560,5;2891,5;2;2317;42,63%
APT;Próprio;SFS;E326;18/01/2025;4218;901;3800,4;4956,1;1,42;6641;38,84%
APT;Próprio;SFS;E307;18/01/2025;4152;884;3670,4;4699;1,35;4550;47,71%
APT;Próprio;SFS;E257;20/01/2025;3602;891,1;3209,7;4392,1;1,44;2189;62,20%
APT;Próprio;SFS;E257;20/01/2025;2997;890,9;2670;3504,7;1,38;1625;64,84%
APT;Próprio;SFS;E258;20/01/2025;6091;875;5329,6;6853;1,36;4754;56,16%
APT;Próprio;SFS;E255;20/01/2025;4429;858;3800;4586,1;1,27;2362;65,22%
APT;Próprio;SFS;E274;21/01/2025;6289;962;6050;7611,6;1,33;7749;44,80%
APT;Próprio;SFS;E277;21/01/2025;6623;909;6020,3;7331,3;1,29;7698;46,24%
APT;Próprio;SFS;E255;21/01/2025;1783;858;1529,8;2223,3;1,55;1509;54,16%
APT;Próprio;SFS;E276;21/01/2025;1656;851,4;1410;1635,7;1,22;1431;53,63%
APT;Próprio;SFS;E276;21/01/2025;4500;851,1;3830;5465;1,52;5817;43,62%
APT;Próprio;SFS;E253;21/01/2025;6171;820;5060,2;6268,7;1,29;3120;66,41%
APT;Próprio;SFS;E264;22/01/2025;4897;923;4519,9;5576,1;1,3;2795;63,66%
APT;Próprio;SFS;E293;22/01/2025;2378;904,1;2150;3276,2;1,58;2283;51,02%
APT;Próprio;SFS;E267;22/01/2025;6284;880;5529,9;7722,1;1,43;3427;64,71%
APT;Próprio;SFS;E273;23/01/2025;6329;948;5999,9;7827,7;1,37;4341;59,31%
APT;Próprio;SFS;E293;23/01/2025;3949;904;3569,9;4141,8;1,2;2886;57,77%
APT;Próprio;SFS;E287;24/01/2025;5630;943,2;5310;5741,3;1,12;3161;64,04%
APT;Próprio;SFS;E287;24/01/2025;509;943,2;480,1;1428,7;3,31;1678;23,27%
APT;Próprio;SFS;E295;24/01/2025;4451;930,1;4140;4899,9;1,25;5226;45,99%
APT;Próprio;SFS;E297;24/01/2025;2400;900;2160;3018,7;1,49;3492;40,73%
