tipo;mes;regiao;dias_abate;po_diario_kg;classe;produtor;volume_kg
meta;2026-06;APT;13;45000;;;
meta;2026-06;ITA;13;35000;;;
meta;2026-07;APT;21;50000;;;
meta;2026-07;ITA;21;35000;;;
meta;2026-08;APT;21;60000;;;
meta;2026-08;ITA;21;35000;;;
meta;2026-09;APT;21;65000;;;
meta;2026-09;ITA;21;35000;;;
meta;2026-10;APT;21;70000;;;
meta;2026-10;ITA;21;35000;;;
meta;2026-11;APT;21;75000;;;
meta;2026-11;ITA;21;35000;;;
meta;2026-12;APT;21;80000;;;
meta;2026-12;ITA;21;35000;;;
meta;2027-01;APT;21;85000;;;
meta;2027-01;ITA;21;35000;;;
meta;2027-02;APT;21;90000;;;
meta;2027-02;ITA;21;35000;;;
meta;2027-03;APT;21;90000;;;
meta;2027-03;ITA;21;35000;;;
meta;2027-04;APT;21;90000;;;
meta;2027-04;ITA;21;35000;;;
meta;2027-05;APT;21;90000;;;
meta;2027-05;ITA;21;35000;;;
