Produtor;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2027-01;2027-02;2027-03;2027-04;2027-05
AGD;810;820;830;840;850;860;870;880;890;900;910;920
CAS;810;820;830;840;850;860;870;880;890;900;910;920
FAM;810;820;830;840;850;860;870;880;890;900;910;920
FSH;810;820;830;840;850;860;870;880;890;900;910;920
GNB;810;820;830;840;850;860;870;880;890;900;910;920
LDC;810;820;830;840;850;860;870;880;890;900;910;920
LRG;810;820;830;840;850;860;870;880;890;900;910;920
MSP;810;820;830;840;850;860;870;880;890;900;910;920
PGP;810;820;830;840;850;860;870;880;890;900;910;920
QTR;810;820;830;840;850;860;870;880;890;900;910;920
RGD;810;820;830;840;850;860;870;880;890;900;910;920
SFS;810;820;830;840;850;860;870;880;890;900;910;920
TLB;810;820;830;840;850;860;870;880;890;900;910;920
