Produtor;Tanque;Data Entrada;Saldo Final;Dt.últ Biometria;Última Pesagem(g);Região;Classe
AGD;R034-LE07-Z_MV;14/07/2026;2841;01/09/2026;185,2533004;APT;Integração
AGD;R001-LE07-INA2;23/07/2026;2585;01/09/2026;155,0287382;APT;Integração
AGD;R141M-LE07-INA2;23/07/2026;3222;01/09/2026;102,227524;APT;Integração
AGD;R125M-LE07-INA2;23/07/2026;3328;01/09/2026;85,3746012;APT;Integração
AGD;R075C-LE07-INA2;23/07/2026;3243;01/09/2026;124,7271676;APT;Integração
AGD;R145-LE07-Z_MV;14/07/2026;3074;01/09/2026;186,2588882;APT;Integração
AGD;R005-LE07-Z_MV;14/07/2026;2073;01/09/2026;189,1511328;APT;Integração
AGD;R007-LE07-Z_MV;17/07/2026;3083;01/09/2026;202,2801928;APT;Integração
AGD;R015-LE07-INA2;23/07/2026;1891;01/09/2026;155,7242344;APT;Integração
AGD;R021-LE07-INA2;23/07/2026;2997;01/09/2026;158,3023302;APT;Integração
AGD;R037-LE07-Z_MV;14/07/2026;2832;01/09/2026;183,2844216;APT;Integração
AGD;R035-LE07-Z_MV;14/07/2026;2990;01/09/2026;179,4331098;APT;Integração
AGD;R032-LE07-Z_MV;17/07/2026;3073;01/09/2026;203,0317646;APT;Integração
AGD;R045M-LE07-Z_MV;17/07/2026;3053;01/09/2026;144,3909068;APT;Integração
AGD;R043C-LE07-Z_MV;17/07/2026;2662;01/09/2026;197,615579;APT;Integração
AGD;R071-LE07-Z_MV;14/07/2026;2932;01/09/2026;179,349261;APT;Integração
AGD;R062-LE07-Z_MV;14/07/2026;2903;01/09/2026;179,6619006;APT;Integração
AGD;R066-LE07-INA2;23/07/2026;2300;01/09/2026;134,8403658;APT;Integração
AGD;R051M-LE07-Z_MV;17/07/2026;3078;01/09/2026;142,1626122;APT;Integração
AGD;R085M-LE07-INA2;23/07/2026;3290;01/09/2026;90,0066006;APT;Integração
AGD;R088-LE07-Z_MV;14/07/2026;2788;01/09/2026;175,228949;APT;Integração
AGD;R121-LE07-Z_MV;14/07/2026;2932;01/09/2026;174,7777276;APT;Integração
AGD;R112-LE07-INA2;23/07/2026;2682;01/09/2026;176,0623116;APT;Integração
AGD;R107C-LE07-Z_MV;17/07/2026;3104;01/09/2026;231,1371552;APT;Integração
AGD;R097M-LE07-INA2;23/07/2026;3343;01/09/2026;91,1537004;APT;Integração
AGD;R123-LE05-H2_MSDV;29/05/2026;3221;01/09/2026;210,350532;APT;Integração
AGD;R139-LE07-Z_MV;17/07/2026;3004;01/09/2026;196,6334524;APT;Integração
AGD;R132-LE07-INA2;23/07/2026;2630;01/09/2026;141,2088076;APT;Integração
AGD;R144C-LE07-INA2;23/07/2026;3397;01/09/2026;124,2756718;APT;Integração
AGD;R126C-LE07-INA2;23/07/2026;3210;01/09/2026;122,8876684;APT;Integração
AGD;R164-LE07-INA2;23/07/2026;2430;01/09/2026;145,3804128;APT;Integração
AGD;R150-LE07-INA2;23/07/2026;2152;01/09/2026;138,3582522;APT;Integração
AGD;R148M-LE07-Z_MV;17/07/2026;3130;01/09/2026;144,5881612;APT;Integração
AGD;R165C-LE07-Z_MV;17/07/2026;3105;01/09/2026;233,029447;APT;Integração
AGD;R163M-LE07-INA2;23/07/2026;3240;01/09/2026;89,3148382;APT;Integração
AGD;R166C-LE07-Z_MV;17/07/2026;3135;01/09/2026;209,177717;APT;Integração
AGD;R167M-LE07-Z_MV;17/07/2026;2904;01/09/2026;144,9880796;APT;Integração
AGD;R009-LE08-MV3;20/08/2026;6586;01/09/2026;87,8728368;APT;Integração
AGD;B009-LE08-INA2;28/08/2026;4135;01/09/2026;44,8060214;APT;Integração
AGD;B045-LE08-INA2;28/08/2026;4336;01/09/2026;45,607436;APT;Integração
