Regiao;Classe;Produtor;Tanque;Data;Semana;Quantidade de Peixes;Peso Medio (g);Biomassa (kg);Consumo de Racao na Fase (kg);TCA Acumulado;Mortalidade Acumulada (peixes);Sobrevivencia Acumulada (%);Status
ITA;Parceria;AAO;AAON1;18/04/2026;36;72.738;903,68;65.731,53;80.221,56;1,8546;39.953;64,55;Peixe Pronto
ITA;Parceria;AAO;AAON2;24/10/2025;10;55.712;901,03;50.198,16;28.603,68;8,3697;11.164;83,31;Peixe Pronto
ITA;Parceria;AAO;AAON3;22/01/2026;23;115.951;903,96;104.815,30;138.252,69;2,3937;36.814;75,9;Peixe Pronto
ITA;Parceria;AAO;AAON4;15/12/2025;18;41.602;904,74;37.639,46;38.371,20;2,4807;6.489;86,51;Peixe Pronto
ITA;Parceria;AAO;AAOP4;02/03/2026;29;251.202;902,28;226.653,75;295.041,45;2,0869;107.109;70,11;Peixe Pronto
APT;Integração;AGD;B001;30/03/2026;33;2.844;901,79;2.565,04;2.648,59;1,5603;1.478;65,81;Peixe Pronto
APT;Integração;AGD;B002;30/03/2026;33;2.952;901,79;2.661,77;2.748,47;1,5603;1.533;65,81;Peixe Pronto
APT;Integração;AGD;B004;30/03/2026;33;2.540;901,79;2.290,25;2.364,85;1,5603;1.319;65,81;Peixe Pronto
APT;Integração;AGD;B005;15/03/2026;32;2.677;900,33;2.410,04;2.497,82;1,5671;1.113;70,63;Peixe Pronto
APT;Integração;AGD;B006;30/03/2026;33;2.623;901,79;2.365,03;2.442,07;1,5603;1.362;65,81;Peixe Pronto
APT;Integração;AGD;B007;15/03/2026;32;2.858;900,33;2.572,83;2.666,54;1,5671;1.188;70,63;Peixe Pronto
APT;Integração;AGD;B010;15/03/2026;32;2.784;900,33;2.506,70;2.597,99;1,5671;1.158;70,63;Peixe Pronto
APT;Integração;AGD;B013;30/03/2026;33;2.646;901,79;2.386,40;2.464,13;1,5603;1.375;65,81;Peixe Pronto
APT;Integração;AGD;B014;15/03/2026;32;2.739;900,33;2.466,00;2.555,81;1,5671;1.139;70,63;Peixe Pronto
APT;Integração;AGD;B016;30/03/2026;33;2.812;901,79;2.535,96;2.618,56;1,5603;1.461;65,81;Peixe Pronto
APT;Integração;AGD;B019;30/03/2026;33;2.617;901,79;2.359,69;2.436,55;1,5603;1.359;65,81;Peixe Pronto
APT;Integração;AGD;B021;30/03/2026;33;2.842;901,79;2.562,66;2.646,13;1,5603;1.476;65,81;Peixe Pronto
APT;Integração;AGD;B024;15/03/2026;32;2.658;900,33;2.393,51;2.480,68;1,5671;1.106;70,63;Peixe Pronto
APT;Integração;AGD;B025;15/03/2026;32;2.777;900,33;2.500,34;2.591,40;1,5671;1.155;70,63;Peixe Pronto
APT;Integração;AGD;B029;15/03/2026;32;2.695;900,33;2.425,94;2.514,29;1,5671;1.120;70,63;Peixe Pronto
APT;Integração;AGD;B030;30/03/2026;33;3.000;901,79;2.705,69;2.793,82;1,5603;1.559;65,81;Peixe Pronto
APT;Integração;AGD;B035;30/03/2026;33;3.075;901,79;2.772,76;2.863,07;1,5603;1.597;65,81;Peixe Pronto
APT;Integração;AGD;B036;30/03/2026;33;2.775;901,79;2.502,13;2.583,63;1,5603;1.441;65,81;Peixe Pronto
APT;Integração;AGD;B038;30/03/2026;33;2.833;901,79;2.554,35;2.637,55;1,5603;1.471;65,81;Peixe Pronto
APT;Integração;AGD;B043;15/03/2026;32;2.697;900,33;2.428,48;2.516,93;1,5671;1.122;70,63;Peixe Pronto
APT;Integração;AGD;B044;30/03/2026;33;2.861;901,79;2.579,87;2.663,91;1,5603;1.486;65,81;Peixe Pronto
APT;Integração;AGD;B046;15/03/2026;32;2.520;900,33;2.268,87;2.351,51;1,5671;1.048;70,63;Peixe Pronto
APT;Integração;AGD;B048;15/03/2026;32;2.533;900,33;2.280,32;2.363,37;1,5671;1.053;70,63;Peixe Pronto
