Status;Tanque;Grupo de Peixes;Unidade Produtiva;Tipo de Tanque;Capacidade;und.;Volume;und;Fase de Produção
Ativa;V03;V03-LA04;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V07;V07-LA02;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V08;V08-LA03;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V09;V09-LA03;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V10;V10-LA02;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V11 ;V11-LA04;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V12;V12-LA03;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V13;V13-LA04;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V14;V14-LA04;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V15;V15-LA02;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V16;V16-LA03;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V17;V17-LA04;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V18;V18-LA04;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V19;V19-LA04;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V20;V20-LA04;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V21;V21-LA04;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V22;V22-LE05;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V23;V23-LE05;SFS;A(60x40);50.000;px;2.400;m³;Alevinagem
Ativa;V01;V01-LA02;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V02;V02-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V03;V03-LE05;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V05;V05-LA02;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V06;V06-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V07;V07-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V08;V08-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V09;V09-LA02;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V10;V10-LA05;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V11;V11-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V12;V12-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V13;V13-LA03;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V14;V14-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V15;V15-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V16;V16-LA02;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V17;V17-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V18;V18-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V19;V19-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V20;V20-LA02;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V22;V22-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V23;V23-LA05;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V24;V24-LA03;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V25;V25-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V26;V26-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V27;V27-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V28;V28-LA05;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V29;V29-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V30;V30-LA01;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V30;V30-LA05;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V31;V31-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V32;V32-LA03;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V33;V33-LA02;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V34;V34-LA02;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V35;V35-LA02;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V36;V36-LA02;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V37;V37-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V39;V39-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V40;V40-LA04;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V41;V41-LA03;QTR;A(60x40);60.000;px;2.400;m³;Alevinagem
Ativa;V01;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;V02;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;V03;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;V04;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;V05;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;V06;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;V07;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;V08;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;V09;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;V10;;RGD;A(60x60);100.000;px;2.600;m³;Alevinagem
Ativa;V11;;RGD;A(60x60);60.000;px;2.400;m³;Alevinagem
Ativa;V12;;RGD;A(60x60);60.000;px;1.920;m³;Alevinagem
Ativa;V13;;RGD;A(60x60);60.000;px;1.920;m³;Alevinagem
Ativa;V14;;RGD;A(60x60);60.000;px;1.920;m³;Alevinagem
Ativa;V15;;RGD;A(60x60);70.000;px;2.160;m³;Alevinagem
Ativa;V16;;RGD;A(60x60);70.000;px;2.160;m³;Alevinagem
Ativa;V17;;RGD;A(60x60);70.000;px;2.160;m³;Alevinagem
Ativa;V18;;RGD;A(60x60);120.000;px;3.000;m³;Alevinagem
Ativa;V19;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;V20;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;V21;;RGD;A(60x60);150.000;px;3.600;m³;Alevinagem
Ativa;ET01;ET01-LE11-MV2_MSDV;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET02;ET02-LE11-Z_MV;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET03;ET03-LE01-Z_H;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET04;ET04-LE02-MV2;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET05;ET05-LE12-Z_H;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET06;USANDO;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET07;ET07-LE01-Z_MV;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET08;USANDO;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET09;USANDO;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET10;USANDO;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET17;ET17-LE02-MV2;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET18;ET18-LE01-Z_MV;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET19;ET19-LE01-Z_MV;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;ET20;ET20-LE02-Z_MV;SFS;E(20x20);40.000;px;800;m³;Engorda
Ativa;T01;T01-LE10-Z_INA2_MSDV;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T02;T02-LE01-Z_INA2;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T03;T03-LE02-Z_INA2;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T04;T04-LE09-Z_INA2_MSDV;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T05;T05-LE01-Z_INA2;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T06;T06-LE03-INA3;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T07;T07-LE02-INA3;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T08;T08-LE12-Z_INA2;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T09;T09-LE01-Z_INA2;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T10;T10-LE02-Z_INA2;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T11;T11-LE03-INA3;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T12;;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T13;;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T14;;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T15;;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;T16;;QTR;E(20x20);60.000;px;1.600;m³;Engorda
Ativa;E252;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E255;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E259;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E262;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E277;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E290;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E295;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E298;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E305;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E311;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E324;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E341 ;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E344;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E358;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E404;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E418;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E452;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E455;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E465;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E466;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E470;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E471;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E472;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E474;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E477;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E480;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E484;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E485;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E488;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E491;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
Ativa;E505;USANDO;SFS;E(3x3);5.000;px;18;m³;Engorda
